"SIF_STR","NAZIV","NASLOV","POSTA","KRAJ","TEKST","NAZIV1","SKUP","X","Y","TOT_DIST_km","TOT_TIME_min","TOT_TIME_h_min"
7196,"AMZS, d.d. - uničenje dokumentacije","ZAGREBŠKA CESTA 25",2000,"MARIBOR","OSTALO","PE LENART","2000 ZAGREBŠKA CESTA 25","15,65426385","46,53758764",45,55,00:55
7369,"AMZS, d.d. - uničenje dokumentacije Murska so","NORŠINSKA 2",9000,"MURSKA SOBOTA","OSTALO","PE LENART","9000 NORŠINSKA 2","16,17752581","46,66665011",77,81,01:21
7382,"ANDREJ REMŠAK, s.p.","SPODNJI BOČ 32A",2352,"SELNICA","OSTALO","PE LENART","2352 SPODNJI BOČ 32A","15,50551672","46,56968034",71,97,01:37
7399,"AVTO ARES, d.o.o.","KROŠKA ULICA 58",9000,"MURSKA SOBOTA","OSTALO","PE LENART","9000 KROŠKA ULICA 58","16,14978908","46,64919109",70,73,01:13
7400,"AVTO CIT, d.o.o.","KROŠKA ULICA 58",9000,"MURSKA SOBOTA","OSTALO","PE LENART","9000 KROŠKA ULICA 58","16,14978908","46,64919109",70,73,01:13
7395,"AVTO CITY, d.o.o. - PE FLAMIN MS","INDUSTRIJSKA ULICA 1A",9000,"MURSKA SOBOTA","OSTALO","PE LENART","9000 INDUSTRIJSKA ULICA 1A","16,17211136","46,65801492",75,79,01:19
7258,"AVTO JARC, d.o.o.","PTUJSKA CESTA 139",2000,"MARIBOR","OSTALO","PE LENART","2000 PTUJSKA CESTA 139","15,67113602","46,53031906",42,52,00:52
7258,"AVTO JARC, d.o.o.","PTUJSKA CESTA 139",2000,"MARIBOR","OSTALO","PE LENART","2000 PTUJSKA CESTA 139","15,67113602","46,53031906",42,52,00:52
7258,"AVTO JARC, d.o.o.","PTUJSKA CESTA 139",2000,"MARIBOR","OSTALO","PE LENART","2000 PTUJSKA CESTA 139","15,67113602","46,53031906",42,52,00:52
7258,"AVTO JARC, d.o.o.","PTUJSKA CESTA 139",2000,"MARIBOR","OSTALO","PE LENART","2000 PTUJSKA CESTA 139","15,67113602","46,53031906",42,52,00:52
7203,"AVTO LENART, d.o.o.","INDUSTRIJSKA ULICA 8",2230,"LENART V SLOVENSKIH GORICAH","OSTALO","PE LENART","2230 INDUSTRIJSKA ULICA 8","15,84173164","46,58467182",0,1,00:01
7203,"AVTO LENART, d.o.o.","INDUSTRIJSKA ULICA 8",2230,"LENART V SLOVENSKIH GORICAH","OSTALO","PE LENART","2230 INDUSTRIJSKA ULICA 8","15,84173164","46,58467182",0,1,00:01
7203,"AVTO LENART, d.o.o.","INDUSTRIJSKA ULICA 8",2230,"LENART V SLOVENSKIH GORICAH","OSTALO","PE LENART","2230 INDUSTRIJSKA ULICA 8","15,84173164","46,58467182",0,1,00:01
7389,"AVTO RAJH, d.o.o. - ostalo","JERUZALEMSKA CESTA 1",9240,"LJUTOMER","OSTALO","PE LENART","9240 JERUZALEMSKA CESTA 1","16,20583377","46,51337137",82,108,01:48
7391,"AVTO RECEK, d.o.o.","ŽIŽKI 94A",9232,"ČRENŠOVCI","OSTALO","PE LENART","9232 ŽIŽKI 94A","16,30815857","46,57344224",99,96,01:36
7373,"AVTO SERVIS FRAS DANIJEL FRAS s.p.","SPODNJI GASTERAJ 21",2223,"JUROVSKI DOL","OSTALO","PE LENART","2223 SPODNJI GASTERAJ 21","15,79935536","46,61611454",11,28,00:28
7392,"AVTO ŠKAFAR, d.o.o.","PLESE 1",9000,"MURSKA SOBOTA","OSTALO","PE LENART","9000 PLESE 1","16,17443535","46,65913363",76,79,01:19
7068,"AVTOHIŠA FERK","VUKOVSKI DOL 10",2221,"JARENINA","SLOPAK - KU 2","PE LENART","2221 VUKOVSKI DOL 10","15,72284438","46,61024615",27,38,00:38
7449,"AVTOKLEPARSTVO KOVAČIČ SAMO, s.p.","PRESIKA 14",9240,"LJUTOMER","OSTALO","PE LENART","9240 PRESIKA 14","16,24000539","46,50201093",90,119,01:59
7581,"AVTOVLEKA FRANC KUMIN s.p.","GORIČKA ULICA 19",9000,"MURSKA SOBOTA","OSTALO","PE LENART","9000 GORIČKA ULICA 19","16,13618497","46,66643916",69,72,01:12
7167,"BELCONT, d.o.o.","HARDEK 34 G - CONA MOŠKANJCI",2270,"ORMOŽ","OSTALO","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7167,"BELCONT, d.o.o.","HARDEK 34 G",2270,"ORMOŽ","OSTALO","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7167,"BELCONT, d.o.o. - 5m3 odprti","HARDEK 34 G - CONA MOŠKANJCI",2270,"ORMOŽ","OSTALO","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7167,"BELCONT, d.o.o. - 5m3 odprti","HARDEK 34 G - CONA MOŠKANJCI",2270,"ORMOŽ","OSTALO","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7167,"BELCONT, d.o.o. - 5m3 odprti","HARDEK 34 G - CONA MOŠKANJCI",2270,"ORMOŽ","OSTALO","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7362,"BELCONT, d.o.o. - 5m3 zaprti","HARDEK 34 G - CONA MOŠKANJCI",2270,"ORMOŽ","OSTALO","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7188,"BELCONT, d.o.o. - slopak","HARDEK 34 G",2270,"ORMOŽ","SLOPAK - KU 2","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7188,"BELCONT, d.o.o. - steklo","HARDEK 34 G",2270,"ORMOŽ","SLOPAK - KU 2","PE LENART","2270 HARDEK 34G","16,16004245","46,40886783",99,139,02:19
7177,"BERNJAK GRADBENIŠTVO, d.o.o.","INDUSTRIJSKA ULICA 28",2230,"LENART V SLOVENSKIH GORICAH","OSTALO","PE LENART","2230 INDUSTRIJSKA ULICA 28","15,84370748","46,58334369",0,1,00:01
8845,"BIOSAN, d.o.o. - kovine","OB IGRIŠČU 10",1360,"VRHNIKA","KOVINE","PE LENART","1360 OB IGRIŠČU 10","14,29978442","45,96241518",331,297,04:57
7452,"BIOTEHNIČNA ŠOLA MARIBOR - slopak","VRBANSKA CESTA 30",2000,"MARIBOR","SLOPAK - KU 2","PE LENART","2000 VRBANSKA CESTA 30","15,63456405","46,56882818",47,58,00:58
7234,"BISTRIŠKA PANORAMA IMPOS, s.p.","TRG SVOBODE 16",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 TRG SVOBODE 16","15,57306576","46,39292075",90,113,01:53
7234,"BISTRIŠKA PANORAMA IMPOS, s.p.","TRG SVOBODE 16",2310,"SLOVENSKA BISTRICA","OSTALO","PE LENART","2310 TRG SVOBODE 16","15,57306576","46,39292075",90,113,01:53
7015,"BOFROST ADRIA D.O.O. PE MB","JADRANSKA CESTA 27",2000,"MARIBOR","SLOPAK - TRGOVCI","PE LENART","2000 JADRANSKA CESTA 27","15,64394412","46,53590098",47,58,00:58
7015,"BOFROST ADRIA D.O.O. PE MB","JADRANSKA C. 27",2000,"MARIBOR","SLOPAK - TRGOVCI","PE LENART","2000 JADRANSKA 27","15,64394412","46,53590098",47,58,00:58
7080,"BOR, d.o.o.,Nova Gorica-za Lenart","INDUSTRIJSKA CESTA 5B, KROMBERK",5000,"NOVA GORICA","OSTALO","PE LENART","5000 INDUSTRIJSKA 5B","13,67027838","45,95484441",505,461,07:41
7451,"BORIS SODIN s.p","STRANICE 46",3206,"STRANICE","OSTALO","PE LENART","3206 STRANICE 46","15,36076129","46,35719972",122,116,01:56
7439,"BORUT VELIČKOVIČ, s.p.","KRAIGHERJEVA ULICA 15",2250,"PTUJ","OSTALO","PE LENART","2250 KRAIGHERJEVA ULICA 15","15,87354779","46,42739041",53,81,01:21
7169,"BRANKO KMETIČ, s.p.","SPODNJA VOLIČINA 81/A",2232,"VOLIČINA","SLOPAK - KU 1","PE LENART","2232 SPODNJA VOLIČINA 81A","15,81537393","46,54392737",11,26,00:26
