SIF_STR;NAZIV;NASLOV;KRAJ;POSTA;SKUP1;X;Y
3642;EURO AIR d.o.o.;OB éELEZNICI 14;1000 LJUBLJANA;1000;1000 OB éELEZNICI 14;14.53428546;46.05898356
3646;AVTERA, d.o.o. - papir;äMARTINSKA 102;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 102;14.53597272;46.06743018
3648;ISKRA SISTEMI, d.d.;CESTA DVEH CESARJEV 403;1000 LJUBLJANA;1000;1000 CESTA DVEH CESARJEV 403;14.46604992;46.03145029
3650;SKY LINE d.o.o.;CELOVäKA CESTA 150;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 150;14.48661486;46.07351829
3652;HOFFMANN LA ROCHE LTD.;GALJEVICA 11a;1000 LJUBLJANA;1000;1000 GALJEVICA 11A;14.52138942;46.03464578
3657;KOMUNALA TREBNJE d.o.o. - 35m3 plas;GOLIEV TRG 9;8210 TREBNJE;8210;8210 GOLIEV TRG 9;15.00826396;45.90732232
3658;KOMUNALA TREBNJE, d.o.o. - 35m3 kar;GOLIEV TRG 9;8210 TREBNJE;8210;8210 GOLIEV TRG 9;15.00826396;45.90732232
3662;VRTEC JARäE;ULICA HERMANA POTO»NIKA 15;1000 LJUBLJANA;1000;1000 ULICA HERMANA POTO»NIKA 15;14.53997176;46.07310580
3671;FRUCTAL AJDOVä»INA;TOVARNIäKA CESTA 7;5270 AJDOVä»INA;5270;5270 TOVARNIäKA CESTA 7;13.90534334;45.88420889
3673;EKOLOGIJA d.o.o. - kovine;LAZE 22;4000 KRANJ;4000;4000 LAZE 22;14.32803101;46.23221552
3675;VRTEC ROéLE;POKOPALIäKA 30;1000 LJUBLJANA-dosta;1000;1000 POKOPALIäKA ULICA 30;14.53199226;46.06271725
3676;ERICSSON d.o.o.;DUNAJSKA CESTA 63;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 63;14.50925934;46.06678818
3677;Oä äENTJANé;äENTJANé 58A;8297 äENTJANé;8297;8297 äENTJANé 58A;15.17072578;46.01302452
3678;IZOLIRKA d.o.o.;OB éELEZNICI 18;1000 LJUBLJANA;1000;1000 OB éELEZNICI 18;14.53917025;46.05906626
3682;SRC, d.o.o.;TRéAäKA 116;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 116;14.47236356;46.03997333
3684;DRéAVNI IZPITNI CENTER;OB éELEZNICI 16;1000 LJUBLJANA;1000;1000 OB éELEZNICI 16;14.53702470;46.05907562
3687;VIäKI VRTCI;TRéAäKA 79;1000 LJUBLJANA-dosta;1000;1000 TRéAäKA CESTA 79;14.47933324;46.04211964
3689;DELOZA d.d.;CESTA ZMAGE 7;1410 ZAGORJE OB SAVI;1410;1410 CESTA ZMAGE 7;14.99639880;46.13317404
3690;Oä äMIHEL NOVO MESTO;äMIHEL 2;8000 NOVO MESTO;8000;8000 äMIHEL 2;15.16361898;45.79471034
3693;STUDI S;SLOVENSKA CESTA 15;1000 LJUBLJANA-dosta;1000;1000 SLOVENSKA CESTA 15;14.50202146;46.04937353
3695;UNHCR-KOMISARIAT ZN ZA BEGUNCE;MIKLOäI»EVA 18;1000 LJUBLJANA-dosta;1000;1000 MIKLOäI»EVA CESTA 18;14.50727818;46.05404802
3696;Oä ANTONA MARTINA SLOMäKA;POD HRUäEVCO 33;1360 VRHNIKA;1360;1360 POD HRUäEVCO 33;14.29505290;45.97335449
3698;Oä PREéIHOV VORANC;PREéIHOVA ULICA 8;1000 LJUBLJANA-dosta;1000;1000 PREéIHOVA ULICA 8;14.50097021;46.05420070
3699;Oä DANILA LOKARJA AJDOVä»INA;CESTA 5. MAJA 7;5270 AJDOVä»INA;5270;5270 CESTA 5. MAJA 7;13.90240787;45.88934561
3705;DRUäTVO PRIJATELJEV MLADINE;BAZOVIäKA CESTA 26;6250 ILIRSKA BISTRICA;6250;6250 BAZOVIäKA CESTA 26;14.24494895;45.56225288
3708;METALIMPEX SLV d.o.o.;LJUBLJANSKA CESTA 26;8000 NOVO MESTO;8000;8000 LJUBLJANSKA CESTA 26;15.15478700;45.81488740
3709;PAK 4 d.o.o. - SLOPAK;LOKE PRI ZAGORJU 11a;1412 KISOVEC;1412;1412 LOKE PRI ZAGORJU 11A;14.96702969;46.14040383
3710;ERBY d.o.o.;CESTA ANDREJA BITENCA 68;1000 LJUBLJANA;1000;1000 CESTA ANDREJA BITENCA 68;14.45799400;46.08793577
3711;ZRC SAZU;NOVI TRG 2;1000 LJUBLJANA;1000;1000 NOVI TRG 2;14.50471205;46.04761263
3713;Oä MOKRONOG;GUB»EVA CESTA 4;8230 MOKRONOG;8230;8230 GUB»EVA CESTA 4;15.14058821;45.94381924
3718;VäZ d.o.o.;VOJKOVA 63;1000 LJUBLJANA-dosta;1000;1000 VOJKOVA CESTA 58;14.51797554;46.06932648
3722;REMITENDA VAL;DUNAJSKA CESTA 05;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 5;14.50613244;46.05936970
3724;FAKULTETA ZA äPORT;GORTANOVA ULICA 22;1000 LJUBLJANA;1000;1000 GORTANOVA ULICA 22;14.53262274;46.05075294
3725;Oä BEéIGRAD;»RTOMIROVA ULICA 12;1000 LJUBLJANA;1000;1000 »RTOMIROVA ULICA 12;14.51813184;46.06173312
3726;DNEVNIK KAMNIK;JAPLJEVA ULICA 6;1241 KAMNIK;1241;1241 JAPLJEVA ULICA 6;14.61204354;46.22504294
3727;BOFROST*S, d.o.o. - slopak;DOLENJSKA CESTA 242/b;1000 LJUBLJANA;1000;1000 DOLENJSKA CESTA 242B;14.54071748;46.02193904
3728;LHB FINANCE d.o.o.;äMARTINSKA ULICA 132;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 132;14.53944216;46.06837092
3730;MP, POTEZA, PUBLIKUM, d.d.;éELEZNA CESTA 18;1000 LJUBLJANA;1000;1000 éELEZNA CESTA 18;14.51355754;46.06307247
3731;FORTUNA d.o.o.;OB éELEZNICI 16;1000 LJUBLJANA;1000;1000 OB éELEZNICI 16;14.53702470;46.05907562
3732;AJPES;TRéAäKA 16;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 16;14.49031794;46.04610996
3735;LIMOS d.o.o.;KIDRI»EVA CESTA 51;4220 äKOFJA LOKA;4220;4220 KIDRI»EVA CESTA 51;14.32964961;46.17255397
3741;Oä PRULE;PRULE 13;1000 LJUBLJANA;1000;1000 PRULE 13;14.50938583;46.04219812
3742;Oä GRM;TRDINOVA ULICA 7;8000 NOVO MESTO;8000;8000 TRDINOVA ULICA 7;15.17151708;45.79887373
3745;VRTEC MOJCA - ENOTA KEKEC;KLOP»I»EVA ULICA 5;1000 LJUBLJANA;1000;1000 KLOP»I»EVA ULICA 5;14.47716254;46.08060172
3747;AGROMETAL KMETIJSKA MEHANIZACESTA;GORJUPOVA ULICA 11;1000 LJUBLJANA;1000;1000 GORJUPOVA ULICA 11;14.44772842;46.03311807
3748;LESNINA d.d.        KARTON;CESTA NA BOKALCE 40;1000 LJUBLJANA;1000;1000 CESTA NA BOKALCE 40;14.44974673;46.05240081
3750;N-21 d.o.o.;KOPRSKA 106b;1000 LJUBLJANA-dosta;1000;1000 KOPRSKA ULICA 106B;14.48371337;46.03236795
3751;AéUR, d.o.o.;STUDENEC 7b;1000 LJUBLJANA;1000;1260 STUDENEC 7B;14.56898438;46.05608690
3752;PRIZMA PONIKVE;PONIKVE 76;1312 VIDEM-DOBREPOLJ;1312;1312 PONIKVE 76;14.64572639;45.85659793
3753;MIVITEX d.o.o.;ULICA JOéETA JAME 12;1000 LJUBLJANA-dosta;1000;1210 ULICA JOéETA JAME 12;14.47765898;46.08968257
3755;LJUBLJANSKI URBANISTI»NI ZAVOD;VOJKOVA 57;1000 LJUBLJANA;1000;1000 VOJKOVA CESTA 57;14.51872480;46.07237082
3756;DM  DROGERIE MARKT;CELOVäKA CESTA 150;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 150;14.48661486;46.07351829
3758;CENTER ZA SOCIALNO DELO FUéINE;PREGLOV TRG 15;1000 LJUBLJANA;1000;1000 PREGLOV TRG 15;14.55855758;46.05411278
3759;HELLA SATURNUS SLOVENIJA d.o.o. - 5;LETALIäKA 17;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 17;14.55435839;46.06367905
3761;KOMUNALNO PODJETJE CERKNICA;NOTRANJSKA CESTA 44;1380 CERKNICA;1380;1380 NOTRANJSKA CESTA 44;14.36346052;45.79796230
3762;TRUDEN d.o.o.;DUNAJSKA CESTA 106;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 106;14.51203598;46.07443902
3763;ZRMK HOLDING;SREDNJE GAMELJNE 41;1000 LJUBLJANA-dosta;1000;1211 SREDNJE GAMELJNE 41;14.49920228;46.12992581
3766;PETROL - MALOPRODAJA in VELEPRODAJA;ZALOäKA CESTA 259;1000 LJUBLJANA;1000;1000 ZALOäKA CESTA 259;14.60275653;46.05759436
3769;ZVEZA ZäAM SLOVENIJE;CELOVäKA CESTA 166;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 166;14.48456798;46.07537162
3770;ARA ZALOéBA d.o.o.;DUNAJSKA CESTA 5;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 5;14.50613244;46.05936970
3771;HIDROINéINIRING d.d.;SLOVEN»EVA 95;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 95;14.50733738;46.08528806
3772;TAURUS d.o.o.;KNEZOV äTRADON 94;1000 LJUBLJANA-dosta;1000;1000 KNEZOV äTRADON 94;14.53714973;46.02385021
3775;TRM FILTER;LITIJSKA CESTA 233;1000 LJUBLJANA-dosta;1000;1000 LITIJSKA CESTA 233;14.58251210;46.04277536
3777;JAGRAF TISKARNA - JAGODIC s.p.;TRBOJE 124;4000 KRANJ;4000;4000 TRBOJE 124;14.41190017;46.19710959
3784;METALIMPEX SLV d.o.o.;LJUBLJANSKA CESTA 26;8000 NOVO MESTO;8000;8000 LJUBLJANSKA CESTA 26;15.15478700;45.81488740
3785;HOTEL TURIST d.d.;DALMATINOVA ULICA 15;1000 LJUBLJANA;1000;1000 DALMATINOVA ULICA 15;14.50808179;46.05378154
3786;EKO SLOVENSKE KONJICE d.o.o.;PREéIGAL 9;3210 SLOVENSKE KONJICE;3210;3210 PREéIGAL 9;15.44854422;46.33713879
3787;Oä WALDORFSKA äOLA;STRELIäKA 12;1000 LJUBLJANA-dosta;1000;1000 STRELIäKA ULICA 12;14.51200260;46.04878658
3788;DINOS, d.d. - Jesenice;KURILNIäKA ULICA 18;4270 JESENICE;4270;4270 KURILNIäKA ULICA 18;14.04158971;46.43644877
3790;EGP, d.d. - äKOFJA LOKA - kovine;KIDRI»EVA CESTA 82;4220 äKOFJA LOKA;4220;4220 KIDRI»EVA CESTA 82;14.34416575;46.17054153
3791;»ISTO MESTO PTUJ d.o.o. BALE;DORNAVSKA CESTA 25;2250 PTUJ;2250;2250 DORNAVSKA CESTA 25;15.90871400;46.42717873
3796;DUROPACK TESPACK - lj.;CESTA PRVIH BORCEV 51;8280 BRESTANICA;8280;8280 CESTA PRVIH BORCEV 51;15.47694233;46.00309114
3798;XEROX SLOVENIJA d.o.o.;BRAVNI»ARJEVA ULICA 13;1000 LJUBLJANA;1000;1000 BRAVNI»ARJEVA ULICA 13;14.48105766;46.08439840
3801;KIMI polivinil;PLANJAVA 1;1236 TRZIN;1236;1236 PLANJAVA 1;14.54817430;46.12003383
3804;JANSSEN-CILAG;äMARTINSKA 140;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 140;14.54059319;46.06830355
3805;TABAKUM EXPORT - IMPORT d.o.o.;PODBEVäKOVA 5;8000 NOVO MESTO;8000;8000 PODBEVäKOVA 5;15.19452306;45.80388441
3807;VRTEC PEDENJPED;CERUTOVA ULICA 6;1000 LJUBLJANA;1000;1000 CERUTOVA ULICA 6;14.61628447;46.06187824
3808;VRTEC PEDENJPED - ENOTA VEV»E;PAPIRNIäKI TRG 5;1000 LJUBLJANA-dosta;1000;1260 PAPIRNIäKI TRG 5;14.59242993;46.05055799
3813;REMATS d.o.o.;KOPRSKA 92;1000 LJUBLJANA-dosta;1000;1000 KOPRSKA ULICA 92;14.48277760;46.03575586
3814;KRAäKI ZIDAR d.o.o.;SLAMNIKARSKA 2;1230 DOMéALE;1230;1230 SLAMNIKARSKA 2;14.59950171;46.13807547
3815;SCHERING - PLOUGH CE AG, LUZERN, ä;DUNAJSKA CESTA 22;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 22;14.50930056;46.06211858
3816;Oä NOVE JARäE;CLEVELANDSKA ULICA 11;1000 LJUBLJANA;1000;1000 CLEVELANDSKA ULICA 11;14.54520801;46.07304569
3817;IMP KLIMAT d.o.o.;VOJKOVA  58;1000 LJUBLJANA;1000;1000 VOJKOVA CESTA 58;14.51797554;46.06932648
3819;Oä IVANA CANKARJA;LOäCA 1;1360 VRHNIKA;1360;1360 LOäCA 1;14.29673682;45.96263045
3821;VRTEC H.CESTA ANDERSEN-MARJETICA;BITEN»EVA ULICA 4;1000 LJUBLJANA;1000;1000 BITEN»EVA ULICA 4;14.47662282;46.07475979
3822;ZAVOD ZA äOLSTVO;PRIVOZ 11;1000 LJUBLJANA;1000;1000 PRIVOZ 11;14.51175668;46.04147042
3823;OGP GRAD BLED d.d.;GRAJSKA CESTA 44;4260 BLED;4260;4260 GRAJSKA CESTA 44;14.09833282;46.37133814
3831;Oä KARLA DESTOVNIKA-KAJUHA;JAK»EVA ULICA 42;1000 LJUBLJANA;1000;1000 JAK»EVA ULICA 42;14.54533452;46.05441207
3832;VRTEC OTONA éUPAN»I»A - »EBELIC;HRUäEVSKA CESTA 81;1000 LJUBLJANA;1000;1000 HRUäEVSKA CESTA 81;14.55624007;46.04167806
3834;VIPAP VIDEM KRäKO d.d.;TOVARNIäKA ULICA 18;8270 KRäKO;8270;8270 TOVARNIäKA ULICA 18;15.49210912;45.95617518
3835;LEDO d.o.o.;BRN»I»EVA ULICA 29;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 29;14.54845672;46.09962845
3836;DHIMAHI d.o.o.;KRIVEC 47;1000 LJUBLJANA;1000;1000 KRIVEC 47;14.45323739;46.07721502
3837;KOMUNALNO PODJETJE PRODNIK;SAVSKA CESTA 34;1230 DOMéALE;1230;1230 SAVSKA CESTA 34;14.59420268;46.13349512
3839;AMODOR d.o.o. - SLOPAK - KU;GORTANOVA ULICA 21;1000 LJUBLJANA;1000;1000 GORTANOVA ULICA 21;14.53320756;46.05035942
3842;MINERALKA d.o.o.;CESTA POD SLIVNICO 24;1380 CERKNICA;1380;1380 CESTA POD SLIVNICO 24;14.36564170;45.79619278
3846;SITEP d.o.o.;KAMNIäKA ULICA 25;1000 LJUBLJANA;1000;1000 KAMNIäKA ULICA 25;14.50138348;46.06864373
3847;äOLSKI CENTER LJUBLJANA;AäKER»EVA CESTA 1;1000 LJUBLJANA;1000;1000 AäKER»EVA CESTA 1;14.49991703;46.04628717
3848;SVILANIT, d.d.;KOVINARSKA 4;1241 KAMNIK;1241;1241 KOVINARSKA 4;14.60696114;46.21784574
3849;Oä DRAVLJE;KLOP»I»EVA ULICA 1;1000 LJUBLJANA;1000;1000 KLOP»I»EVA ULICA 1;14.47739958;46.08014392
3852;SREDNJA äOLA ZA FARMACIJO;ZEMLJEMERSKA ULICA 5;1000 LJUBLJANA;1000;1000 ZEMLJEMERSKA ULICA 5;14.51586383;46.04758825
3855;FMC, d.o.o. - prej URNI;LETALIäKA 32;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 32;14.57183748;46.06152316
3856;éURNAL MEDIA, d.o.o.;BRAVNI»ARJEVA ULICA 13;1000 LJUBLJANA;1000;1000 BRAVNI»ARJEVA ULICA 13;14.48105766;46.08439840
3857;TRGOVINA SEWA d.o.o.;GOSPOSVETSKA CESTA 13;1000 LJUBLJANA;1000;1000 GOSPOSVETSKA CESTA 13;14.50202936;46.05570792
3859;Oä VENCLJA PERKA pod.DRAGOMELJ;DRAGOMELJ 116;1230 DOMéALE-dostava;1230;1230 DRAGOMELJ 116;14.59868151;46.10471869
3864;KUBUS INTERIER, d.o.o. - CISCO SYST;BRAVNI»ARJEVA ULICA 13;1000 LJUBLJANA;1000;1000 BRAVNI»ARJEVA ULICA 13;14.48105766;46.08439840
3868;JUNGHEINRICH d.o.o. - uniéçevanje;PLANJAVA 6;1236 TRZIN;1236;1236 PLANJAVA 6;14.54665162;46.11953296
3869;JUNGHEINRICH d.o.o.;PLANJAVA 6;1236 TRZIN;1236;1236 PLANJAVA 6;14.54665162;46.11953296
3870;MINISTRSTVO ZA KULTURO;METELKOVA 4;1000 LJUBLJANA-dosta;1000;1000 METELKOVA ULICA 4;14.51582890;46.05605491
3873;HILL INTERNATIONAL d.o.o.;VODOVODNA 99a;1000 LJUBLJANA;1000;1000 VODOVODNA 99A;14.50247932;46.07763712
3881;OMAHEN TRANSPORT d.o.o.;GRADIäKE LAZE 19;1275 äMARTNO PRI LIT;1275;1275 GRADIäKE LAZE 19;14.86241493;46.05285301
3882;KOMUNALA LITIJA 35m3;PONOVIäKA 15;1270 LITIJA;1270;1270 PONOVIäKA 15;14.83274124;46.06228845
3883;ERGOLES d.o.o.;TBILISIJSKA 57;1000 LJUBLJANA;1000;1000 TBILISIJSKA ULICA 57;14.47921678;46.03799817
3884;PERITEKS d.o.o. - karton;BLATNICA 2;1236 TRZIN;1236;1236 BLATNICA 2;14.55037397;46.12002447
3890;SAS INSTITUTE d.o.o.;DUNAJSKA CESTA 22;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 22;14.50930056;46.06211858
3892;SOFT TRADE d.o.o.;TRéAäKA 132;1000 LJUBLJANA-dosta;1000;1000 TRéAäKA CESTA 132;14.46815651;46.03810937
3893;INäTITUT ZA VODE RS;HAJDRIHOVA ULICA 28;1000 LJUBLJANA;1000;1000 HAJDRIHOVA ULICA 28;14.49270771;46.04193663
3894;NEKTAR & NATURA d.o.o.;BRN»I»EVA ULICA 3;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 3;14.54010937;46.09865956
3895;äTUDETSKI SERVIS äTUDENT;SLOVENSKA CESTA 6;1000 LJUBLJANA-dosta;1000;1000 SLOVENSKA CESTA 6;14.50150812;46.04753577
3896;STRANKA - UNI»EVANJE;POD JEéAMI 3;1000 LJUBLJANA-dosta;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
3897;KOMUNALA RIBNICA 1.8m3;GORI»A VAS 11a;1310 RIBNICA;1310;1310 GORI»A VAS 11A;14.73538686;45.73192818
3898;KOMUNALA RIBNICA;GORI»A VAS 11a;1310 RIBNICA;1310;1310 GORI»A VAS 11A;14.73538686;45.73192818
3900;MINISTRSTVO ZA KULTURO;MAISTROVA 10;1000 LJUBLJANA-dosta;1000;1000 MAISTROVA ULICA 10;14.51755923;46.05622415
3906;MERCATOR - 35m3;SLOVEN»EVA 25;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3908;MERCATOR ZALOG;HLADILNIäKA POT 38;1000 LJUBLJANA;1000;1000 HLADILNIäKA POT 38;14.60543712;46.06231837
3909;MERCATOR ZALOG;HLADILNIäKA POT 38;1000 LJUBLJANA;1000;1000 HLADILNIäKA POT 38;14.60543712;46.06231837
3912;TRENKWALDER KADROVSKE STORITVE;DUNAJSKA CESTA 105;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 105;14.51060513;46.07396505
3914;MESSER SLOVENIJA d.o.o.;BRN»I»EVA ULICA 27;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 27;14.54765813;46.09922042
3915;PALOMA PREVALJE d.d.;NICINA 10;2391 PREVALJE;2391;2391 NICINA 10;14.92873846;46.54434291
3916;BANKA SPARKASSE;CESTA V KLE»E 15;1000 LJUBLJANA;1000;1000 CESTA V KLE»E 15;14.47774588;46.08731659
3917;ELEKTROSERVISI, d.d. - les;BUKOVICE 4B, VODICE;1000 LJUBLJANA;1000;1217 BUKOVICA PRI VODICAH 4B;14.51018851;46.17396205
3921;BELINKA KTM d.o.o.;OB éELEZNICI 14;1000 LJUBLJANA;1000;1000 OB éELEZNICI 14;14.53428546;46.05898356
3922;MIKROFILM LJUBLJANA d.o.o.;äMARTINSKA 28;1000 LJUBLJANA-dosta;1000;1000 äMARTINSKA CESTA 28;14.52103143;46.05822718
3923;ZAVOD ZA äOLSTVO;POLJANSKA 28;1000 LJUBLJANA;1000;1000 POLJANSKA CESTA 28;14.51857888;46.04891334
3924;MERCATOR POSTOJNA 35m3;TRéAäKA CESTA 59;6230 POSTOJNA;6230;6230 TRéAäKA CESTA 59;14.20214214;45.77198249
3925;MERCATOR JESENICE;SPODNJI PLAVé 5;4270 JESENICE;4270;4270 SPODNJI PLAVé 5;14.03445099;46.44276777
3927;MERCATOR POSTOJNA 35m3;TRéAäKA CESTA 59;6230 POSTOJNA;6230;6230 TRéAäKA CESTA 59;14.20214214;45.77198249
3932;MERCATOR LJUBLJANA 5m3 - arhiva;DUNAJSKA CESTA 107;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 107;14.51086019;46.07436203
3933;VETERINARSKA FAKULTETA - GROSUPLJE;TABORSKA 32;1290 GROSUPLJE;1290;1290 TABORSKA 32;14.65266227;45.95092601
3934;PRODAJA PAPIRJA;POD JEéAMI 3;1000 LJUBLJANA-dosta;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
3936;*PETROL SKLADIä»ENJE* - na oporab;ZALOäKA CESTA 259;1260 LJ-POLJE;1260;1260 ZALOäKA CESTA 259;14.60275653;46.05759436
3937;Oä MIRANA JARCA;ULICA OTONA éUPAN»I»A 8;8340 »RNOMELJ;8340;8340 ULICA OTONA éUPAN»I»A 8;15.19207789;45.57331804
3938;PARKS 1 d.o.o.;DUNAJSKA CESTA 158;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 158;14.51454107;46.08217860
3939;PAPIR SERVIS MARIBOR - mko;POLANSKA CESTA 1;2000 MARIBOR;2000;2000 POLANSKA CESTA 1;15.64757600;46.47745417
3942;SET, d.o.o. - 5m3;VEVäKA CESTA 52;1000 LJUBLJANA;1000;1260 VEVäKA CESTA 52;14.59187092;46.04925134
3944;VIäKI VRTCI (ENOTA ROéNIK);CESTA NA BRDO 30;1000 LJUBLJANA-dosta;1000;1000 CESTA NA BRDO 30;14.47360281;46.04554859
3948;Oä OSKAR KOVA»I» - SLOPAK - KU;DOLENJSKA CESTA 20;1000 LJUBLJANA;1000;1000 DOLENJSKA CESTA 20;14.51663491;46.03915168
3949;DARS, d.d.;GRI» 54;1000 LJUBLJANA;1000;1000 GRI» 54;14.45043132;46.06027705
3950;MERCATOR DOMéALE 35m3;CESTA TALCEV 4;1230 DOMéALE;1230;1230 CESTA TALCEV 4;14.60077747;46.13705420
3954;KARAKO - SLOPAK;CESTA 30. AVGUSTA 4;1260 LJ-POLJE;1260;1260 CESTA 30. AVGUSTA 4;14.59067608;46.05006588
3956;ODVETNIäKA DRUéBA MARTINEC IN SVE;RESLJEVA ULICA 44;1000 LJUBLJANA;1000;1000 RESLJEVA CESTA 44;14.51346062;46.05642279
3958;MERCATOR  - 35m3 - PLASTIKA;SLOVEN»EVA 25;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3960;MERCATOR - 35m3;SLOVEN»EVA 25;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3962;MERCATOR - 35m3;SLOVEN»EVA 25;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3963;MERCATOR - 35m3;SLOVEN»EVA 25;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3964;MERCATOR - 35m3;SLOVEN»EVA 25;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3965;MERCATOR - 35m3;SLOVEN»EVA 25;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3980;SLOVENSKI ODBOR ZA UNICEF;PAVäI»EVA 1;1000 LJUBLJANA-dosta;1000;1000 PAVäI»EVA ULICA 1;14.48681022;46.07196257
3981;MERCATOR DOMéALE - 5m3 - FOLIJA;CESTA TALCEV 4;1230 DOMéALE;1230;1230 CESTA TALCEV 4;14.60077747;46.13705420
3983;SLUäNI APARATI WIDEX d.o.o.;RESLJEVA 32;1000 LJUBLJANA;1000;1000 RESLJEVA CESTA 32;14.51197190;46.05670439
3984;MERCATOR - 5m3;SLOVEN»EVA 25 SPODAJ;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 25;14.50583523;46.08262731
3990;MERCATOR LOGATEC 35m3;TRéAäKA CESTA 3;1371 LOGATEC;1371;1371 TRéAäKA CESTA 3;14.29734932;45.96521658
3991;MERCATOR VRHNIKA 35m3;ROBOVA CESTA 6;1360 VRHNIKA;1360;1360 ROBOVA CESTA 6;14.29721728;45.96750122
3992;MERCATOR GROSUPLJE;BRVACE 1a;1290 GROSUPLJE;1290;1290 BRVACE 1A;14.64471016;45.96203199
3994;ZAVOD ZA GLUHE IN NAGLUäNE;VOJKOVA 74;1000 LJUBLJANA;1000;1000 VOJKOVA CESTA 74;14.52000223;46.07115250
3995;KOMUNALA NOVO MESTO d.o.o.;PODBEVäKOVA 12;8000 NOVO MESTO;8000;8000 PODBEVäKOVA 12;15.19814075;45.80458898
3996;ZDRAVSTVENI INäPEKTORAT;PARMOVA 33;1000 LJUBLJANA;1000;1000 PARMOVA ULICA 33;14.50409605;46.06162833
3997;DZS d.d. SLOPAK - TRGOVCI 35m3;LETALIäKA 30;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 30;14.56997632;46.06151621
3998;SEMENARNA - SKLADIä»E - 5m3;DOLENJSKA CESTA 242;1000 LJUBLJANA;1000;1000 DOLENJSKA CESTA 242;14.53978866;46.02336595
3999;DZS d.d. SLOPAK-TRGOVCI  5m3;LETALIäKA 30;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 30;14.56997632;46.06151621
4002;PE MAROF TRADE;CESTA NOTRANJSKEGA ODREDA 46;1386 STARI TRG PRI LOéU;1386;1386 CESTA NOTRANJSKEGA ODREDA 46;14.47663816;45.70966039
4005;BETONARNA LAéE d.d. - slopak;LAéE 30;6224 SENOéE»E;6224;6224 LAéE 30;14.07058726;45.73807479
4006;TAPRO TRGOVINA d.o.o. 5m3;DEVOVA ULICA 21;1000 LJUBLJANA;1000;1000 DEVOVA ULICA 21;14.47960558;46.08619135
4007;BETONARNA »RNU»E - SLOPAK;CESTA NA BROD 2;1000 LJUBLJANA;1000;1000 CESTA NA BROD 2;14.54508838;46.10029897
4008;SERVIER PHARMA;POT K SEJMIä»U 33;1000 LJUBLJANA;1000;1231 POT K SEJMIä»U 32;14.53604529;46.09900310
4010;OB»INA GROSUPLJE;TABORSKA CESTA 2;1290 GROSUPLJE;1290;1290 TABORSKA CESTA 2;14.65254366;45.95755704
4011;JAVNI SKLAD ZA KULTURNE DEJAVNOSTI;äTEFANOVA 5;1000 LJUBLJANA;1000;1000 äTEFANOVA ULICA 5;14.50279998;46.05335387
4016;MERCATOR BREéICE 35m3;TOVARNIäKA 10;8250 BREéICE;8250;8250 TOVARNIäKA 10;15.59683777;45.91798251
4017;MERCATOR BREéICE 5m3;TOVARNIäKA 10;8250 BREéICE;8250;8250 TOVARNIäKA 10;15.59683777;45.91798251
4020;MERCATOR PRI HLADILNICI;PODBEVäKOVA 4;8000 NOVO MESTO;8000;8000 PODBEVäKOVA 4;15.19450270;45.80175191
