SIF_STR;NAZIV;NASLOV;KRAJ;POSTA;SKUP1;X;Y
2210;INäTITUT JOéEF äTEFAN - 5m3 kart;JAMOVA CESTA 39;1000 LJUBLJANA;1000;1000 JAMOVA CESTA 39;14.48785865;46.04235597
2211;INäTITUT JOéEF äTEFAN-REAKTOR;BRINJE 40;1000 LJUBLJANA;1000;1000 BRINJE 40;14.59661779;46.09321254
2212;MINISTRSTVO ZA VISOKO äOLSTVO( pre;KONGRESNI TRG 1;1000 LJUBLJANA;1000;1000 KONGRESNI TRG 1;14.50354646;46.05080177
2213;INTEREUROP;KARDELJEVA PLOä»AD 16;1000 LJUBLJANA;1000;1000 KARDELJEVA PLOä»AD 16;14.51754890;46.07529011
2215;ISCAR SLOVENIJA d.o.o.;MOTNICA 14;1236 TRZIN;1236;1236 MOTNICA 14;14.54721897;46.11818557
2216;ISKRA TRANSMISSION d.d.;STEGNE 11;1000 LJUBLJANA;1000;1000 STEGNE 11;14.48482110;46.08432539
2219;ISKRA SISTEMI, d.d.;STEGNE 21c;1000 LJUBLJANA;1000;1000 STEGNE 21C;14.48223245;46.08598729
2220;ELEA IC d.o.o. (JB INéINERING);DUNAJSKA CESTA 21;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 21;14.50689201;46.06116350
2223;KALAN TRADE d.o.o.;äETINOVA 4;1215 MEDVODE;1215;1215 äETINOVA 4;14.40965086;46.14805276
2224;KEMIJSKA INDUSTRIJA KAMNIK d.d;FUéINE 9;1240 KAMNIK;1240;1240 FUéINE 9;14.60994372;46.23052423
2227;KIMI papir;PLANJAVA 1;1236 TRZIN;1236;1236 PLANJAVA 1;14.54817430;46.12003383
2229;KLINI»NI CENTER - PEDIATRI»NA KLI;VRAZOV TRG 1;1000 LJUBLJANA;1000;1000 VRAZOV TRG 1;14.51715159;46.05107578
2234;KEMOFARMACIJA;CESTA NA BRDO 100;1000 LJUBLJANA;1000;1000 CESTA NA BRDO 100;14.46204190;46.04783434
2241;KONUS KONEX;MESTNI TRG 18;3210 SLOVENSKE KONJICE;3210;3210 MESTNI TRG 18;15.42787826;46.33891880
2247;KRAäCOMMERCE, d.o.o.;»OPOVA ULICA 3;1000 LJUBLJANA;1000;1000 »OPOVA ULICA 3;14.50499833;46.05174380
2248;KUäAR COMMERCE d.o.o.;JEéICA 27;1000 LJUBLJANA;1000;1000 JEéICA 27;14.51038091;46.09354290
2252;LESNINA d.d.;CESTA NA BOKALCE 40;1000 LJUBLJANA;1000;1000 CESTA NA BOKALCE 40;14.44974673;46.05240081
2253;LESNINA d.d.        LES;CESTA NA BOKALCE 40;1000 LJUBLJANA;1000;1000 CESTA NA BOKALCE 40;14.44974673;46.05240081
2254;LESNINA TRGOVINA d.o.o.;TRéAäKA 135;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 135;14.46847560;46.03716610
2257;LJUBLJANSKE MLEKARNE d.d.   VK;TOLSTOJEVA 63;1000 LJUBLJANA;1000;1000 TOLSTOJEVA ULICA 63;14.50528734;46.07736134
2258;LJUBLJANSKE MLEKARNE-éITO;äMARTINSKA 152;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 152;14.54196589;46.06800312
2261;M MARKET M-MIG;VEGOVA 1;1251 MORAV»E;1251;1251 VEGOVA 1;14.74466913;46.13552934
2262;MAGNETI LJUBLJANA d.d.;STEGNE 37;1000 LJUBLJANA;1000;1000 STEGNE 37;14.48095427;46.08716020
2263;MAIA;MASLJEVA 3;1230 DOMéALE;1230;1230 MASLJEVA 3;14.59284760;46.14179504
2265;MEDIA PRINT;LJUBLJANSKA 1;1233 DOB;1233;1233 LJUBLJANSKA 1;14.62434214;46.15296030
2266;MELITAS d.o.o.;BOROVEC 9;1236 TRZIN;1236;1236 BOROVEC 9;14.55007933;46.12125599
2273;MESO KAMNIK;KORENOVA CESTA 9;1241 KAMNIK;1241;1241 KORENOVA CESTA 9;14.58111914;46.19851793
2274;METALKA TRGOVINA, d.o.o.;TOPNIäKA 9;1000 LJUBLJANA;1000;1000 TOPNIäKA ULICA 9;14.51180997;46.06778881
2275;METALKA TRGOVINA, d.o.o.;LJUBLJANSKA 63;1230 DOMéALE;1230;1230 LJUBLJANSKA 63;14.59105326;46.13762281
2277;METREL;LJUBLJANSKA CESTA 77;1354 HORJUL;1354;1354 LJUBLJANSKA CESTA 77;14.30058865;46.02269615
2282;MOTOMAT;MILANA MAJCNA 6;1000 LJUBLJANA;1000;1000 ULICA MILANA MAJCNA 6;14.49603965;46.06350072
2287;Oä PRESERJE PRI RADOMLJAH;PELECHOVA CESTA 83;1235 RADOMLJE;1235;1235 PELECHOVA CESTA 83;14.60538199;46.17207038
2288;Oä SAVSKO NASELJE;MATJAéEVA 4;1000 LJUBLJANA;1000;1000 MATJAéEVA ULICA 4;14.51997249;46.06411622
2289;Oä VIéMARJE - slopak;NA GAJU 2;1000 LJUBLJANA;1000;1000 NA GAJU 2;14.46766594;46.10958429
2292;*OKROéNO SODIä»E - ostalo*- ne u;TAV»ARJEVA 9;1000 LJUBLJANA;1000;1000 TAV»ARJEVA ULICA 9;14.50676693;46.05486461
2295;ORIFLAME KOZMETIKA;DUNAJSKA CESTA 49;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 49;14.50840067;46.06449011
2296;Oä KOSEZE;LEDARSKA 23;1000 LJUBLJANA-dosta;1000;1000 LEDARSKA ULICA 23;14.46887372;46.07394138
