"14.4232513";"46.05022814";"ÈEŠNOVAR FRANCI";"RAZORI 6A"
"15.90401894";"46.42337426";"ÈISTO MESTO PTUJ, d.o.o.-prevoz za lastne potrebe";"DORNAVSKA CESTA 26"
"14.3338954";"46.17596178";"*KNAUF INSULATION, d.o.o. - 5m3*";"TRATA 32"
"14.22241869";"45.91653096";"*KOMUNALA LOGATEC 1.8m3*- ne uporabljaj";"TRŽAŠKA CESTA 27"
"14.22241869";"45.91653096";"*KOMUNALA LOGATEC 35m*- ne uporabljaj";"TRŽAŠKA CESTA 27"
"14.53618909";"46.06163658";"*ORKA, d.o.o.*";"TOVARNIŠKA 48"
"14.45896449";"46.10379412";"*SLOVENIJALES TRGOVINA d.o.o.*";"PLEMLJEVA 8"
"15.58015628";"46.38960992";"1 A FRONTE, d.o.o.";"KOLODVORSKA ULICA 33"
"14.48373461";"46.07879597";"A COSMOS, d.d. - avtomobilski odbijaèi";"CELOVŠKA CESTA 182"
"14.48373461";"46.07879597";"A COSMOS, d.d. - kovine, 1";"CELOVŠKA CESTA 182"
"14.47765898";"46.08968257";"A COSMOS, d.d. - kovine, 2";"ULICA JOŽETA JAME 12"
"14.48373461";"46.07879597";"A COSMOS, d.d. - papir, 1";"CELOVŠKA CESTA 182"
"14.47765898";"46.08968257";"A COSMOS, d.d. - papir, 2";"ULICA JOŽETA JAME 12"
"14.48373461";"46.07879597";"A COSMOS, d.d. - papir, les";"CELOVŠKA CESTA 182"
"14.50224723";"46.06024368";"A TRANS, d.o.o. - kovine";"KURILNIŠKA 18"
"14.51257351";"46.08095558";"A.T. KEARNEY d.o.o.";"DUNAJSKA CESTA 151"
"14.54130534";"46.02113159";"ABBOTT LABORATORIES, d.o.o.";"DOLENJSKA CESTA 242C"
"14.86798168";"45.92750284";"ABV KOVINSKI IZDELKI d.o.o.- kovine";"SELA PRI DOBU 3"
"14.54728593";"46.06235571";"AC KONDOR d.o.o.";"LETALIŠKA 9A"
"14.54728593";"46.06235571";"AC KONDOR d.o.o. - kovine";"LETALIŠKA 9/a"
"14.54728593";"46.06235571";"AC KONDOR, d.o.o. - plastièni odbijaèi";"LETALIŠKA 9A"
"14.47848594";"46.03602435";"ADD d.o.o.";"TBILISIJSKA 85"
"14.50613244";"46.0593697";"ADRIA MEDIA, d.o.o., 1";"DUNAJSKA CESTA 5"
"14.50243896";"46.05615058";"ADRIA MEDIA, d.o.o., 2";"VOŠNJAKOVA ULICA 1"
"14.50194473";"46.05649934";"ADRIA MEDIA, d.o.o., 3";"VOŠNJAKOVA ULICA 3"
"14.49875888";"46.07299615";"ADRIATIC BST d.o.o.";"VEROVŠKOVA ULICA 55"
"15.67580548";"46.61117327";"AGRO STYRIA, d.o.o. - slopak";"PESNICA PRI MARIBORU 48"
"15.83388406";"46.57924135";"AGROCENTER LENART, d.o.o.";"KRAIGHERJEVA ULICA 19A"
"15.56163736";"46.38041764";"AGROCOM, d.o.o.";"LJUBLJANSKA CESTA 99"
"15.56163736";"46.38041764";"AGROCOM, d.o.o. - kovine";"LJUBLJANSKA CESTA 99"
"14.44772842";"46.03311807";"AGROMETAL KMETIJSKA MEHANIZAC.";"GORJUPOVA ULICA 11"
"14.49930655";"46.04807504";"AIR FRANCE , PODRUŽNICA LJUBLJANA";"IGRIŠKA ULICA 5"
"15.64255922";"46.61604373";"AJM, d.o.o. - slopak";"KOZJAK NAD PESNICO 2"
"14.50103411";"46.05572159";"ALEATORIUM, d.o.o.";"BLEIWEISOVA CESTA 30"
"14.51498725";"46.06068514";"ALFA GRAD, d.o.o. - kovine";"ŠTIHOVA ULICA 1"
"15.82438628";"46.57758296";"ALMAJA, d.o.o.";"JUROVSKA CESTA 23"
"14.26467844";"45.8586474";"ALOJZIJ PODBOJ s.p";"LAZE 48"
"15.3947918";"46.21482161";"ALPOS METALURGIJA, d.d. - kovine";"CESTA LEONA DOBROTINŠKA 2"
"14.51355754";"46.06307247";"ALTA INVEST, d.d. - bivša POTEZA";"ŽELEZNA CESTA 18"
"14.74077771";"45.95653011";"ALTEL PCB, d.o.o. - interseroh";"GRINTOVEC 30"
"14.51237137";"46.07599703";"AMADEUS SLOVENIJA d.o.o.- kovine";"DUNAJSKA 122"
"14.54059319";"46.06830355";"AMGEN ZDRAVILA, d.o.o.";"ŠMARTINSKA 140"
"14.53865582";"46.06810683";"AMWAY SLOVENIJA L.L.C.";"ŠMARTINSKA CESTA 130"
"15.50551672";"46.56968034";"ANDREJ REMŠAK, s.p.";"SPODNJI BOÈ 32A"
"15.71613022";"46.59908746";"ANDREJ ROPIÈ - kovine";"VOSEK 34"
"14.21662151";"45.91624852";"ANDREJ ZGONEC s.p.";"TRŽAŠKA CESTA 82"
"14.43515";"46.04288228";"ANGEL OBLAK, s.p. - kovine";"POT ÈEZ GMAJNO 60"
"14.54634941";"46.11851504";"ARBA PLUS d.o.o.";"ŠPRUHA 19"
"14.45077366";"46.03347461";"ARCADIA SVETILA d.o.o.";"TRŽAŠKA 222"
"14.49518942";"46.06745595";"AROMA HERBAL, d.o.o. - slopak";"ALJAŽEVA ULICA 24 A"
"14.50011646";"46.0744147";"AS TRIGLAV, d.o.o. - slopak";"VEROVŠKOVA ULICA 60 B"
"14.48073143";"46.03628648";"ASGUN, d.o.o.";"KOPRSKA 68A"
"15.28593764";"46.24562159";"ASO d.o.o.- slopak";"TRNOVELJSKA CESTA 4A"
"14.46600547";"46.0764474";"ASSISTANCE CORIS, d.o.o.";"ULICA BRATOV BABNIK 10"
